,Unnamed: 0,Unnamed: 0.1,food,gluten,peanuts,eggs,seafood,soy,dairy,tree nuts,joined_word
0,0,0,abalone,0.0,0.0,0.0,1.0,0.0,0.0,0.0,abalone
1,1,1,almond,0.0,0.0,0.0,0.0,0.0,0.0,1.0,almond
2,2,2,barley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,barley
3,3,3,barramundi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,barramundi
4,4,4,beechnut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,beechnut
5,5,5,bouillabaisse,0.0,0.0,0.0,1.0,0.0,0.0,0.0,bouillabaisse
6,6,6,brazil nut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,brazilnut
7,7,7,bread,1.0,0.0,0.0,0.0,0.0,0.0,0.0,bread
8,8,8,bush nut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,bushnut
9,9,9,butter,0.0,0.0,0.0,0.0,0.0,1.0,0.0,butter
10,10,10,buttermilk,0.0,0.0,0.0,0.0,0.0,1.0,0.0,buttermilk
11,11,11,butternut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,butternut
12,12,12,cake,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cake
13,13,13,cakes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,cakes
14,14,14,calamari,0.0,0.0,0.0,1.0,0.0,0.0,0.0,calamari
15,15,15,cashew,0.0,0.0,0.0,0.0,0.0,0.0,1.0,cashew
16,16,16,cheddar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,cheddar
17,17,17,cheese,0.0,0.0,0.0,0.0,0.0,1.0,0.0,cheese
18,18,18,chestnut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,chestnut
19,19,19,clam extract,0.0,0.0,0.0,1.0,0.0,0.0,0.0,clamextract
20,20,20,clams,0.0,0.0,0.0,1.0,0.0,0.0,0.0,clams
21,21,21,cockle,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cockle
22,22,22,coconut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,coconut
23,23,23,cod,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cod
24,24,24,coral,0.0,0.0,0.0,1.0,0.0,0.0,0.0,coral
25,25,25,cottage cheese,0.0,0.0,0.0,0.0,0.0,1.0,0.0,cottagecheese
26,26,26,crab,0.0,0.0,0.0,1.0,0.0,0.0,0.0,crab
27,27,27,cram,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cram
28,28,28,crawfish,0.0,0.0,0.0,1.0,0.0,0.0,0.0,crawfish
29,29,29,crayfish,0.0,0.0,0.0,1.0,0.0,0.0,0.0,crayfish
30,30,30,cream,0.0,0.0,0.0,0.0,0.0,1.0,0.0,cream
31,31,31,cream cheese,0.0,0.0,0.0,0.0,0.0,1.0,0.0,creamcheese
32,32,32,crevasse,0.0,0.0,0.0,1.0,0.0,0.0,0.0,crevasse
33,33,33,crevette,0.0,0.0,0.0,1.0,0.0,0.0,0.0,crevette
34,34,34,cuttlefish,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cuttlefish
35,35,35,cuttlefish ink,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cuttlefishink
36,36,36,dough,1.0,0.0,0.0,0.0,0.0,0.0,0.0,dough
37,37,37,edamame,0.0,0.0,0.0,0.0,1.0,0.0,0.0,edamame
38,38,38,egg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,egg
39,39,39,egg white,0.0,0.0,1.0,0.0,0.0,0.0,0.0,eggwhite
40,40,40,egg yolk,0.0,0.0,1.0,0.0,0.0,0.0,0.0,eggyolk
41,41,41,eggs,0.0,0.0,1.0,0.0,0.0,0.0,0.0,eggs
42,42,42,escargot,0.0,0.0,0.0,1.0,0.0,0.0,0.0,escargot
43,43,43,filbert,0.0,0.0,0.0,0.0,0.0,0.0,1.0,filbert
